,Chain,Park,Name,Height,Speed,Length,Inversions,URL
522,Parques Reunidos,Mirabilandia,Gold Digger,47.6 ft,,1183.4 ft,0,https://rcdb.com/765.htm
525,Parques Reunidos,Parque de Atracciones,Paw Patrol: Patrulla Canina,13 ft,,262.5 ft,0,https://rcdb.com/3848.htm
537,Parques Reunidos,TusenFryd,Thundercoaster,,57.8 mph,3116.8 ft,0,https://rcdb.com/1042.htm
565,Walibi,Walibi Rhône-Alpes,Woodstock Express,,,,0,https://rcdb.com/1713.htm
577,Other,Nagashima Spa Land,Ultra Twister / ウルトラツイスター,,,,3,https://rcdb.com/15562.htm
584,Other,Nagashima Spa Land,Jet Coaster / ジェットコースター,,,,0,https://rcdb.com/1180.htm
586,Other,Nagashima Spa Land,Corkscrew / コークスクリュー,,,1279.5 ft,2,https://rcdb.com/15561.htm
596,Other,Europa Park,Ba-a-a-Express,9.8 ft,,219.8 ft,0,https://rcdb.com/13654.htm
597,Other,Europa Park,Alpenexpress Enzian,,,,0,https://rcdb.com/21331.htm
603,Other,Port Adventura,Diablo - Tren de la Mina,54 ft,,3306 ft,0,https://rcdb.com/762.htm
605,Other,Port Adventura,Uncharted: The Enigma of Penitence,39.4 ft,,2296.6 ft,0,https://rcdb.com/20465.htm
608,Other,Port Adventura,Furius Baco,,83.9 mph,2788.8 ft,1,https://rcdb.com/3430.htm
610,Other,Ferrari Land,Junior Red Force,,28 mph,,0,https://rcdb.com/15992.htm
618,Other,Nickelodeon Universe,Timmy's Half-Pipe Havoc,,,,0,https://rcdb.com/16794.htm
624,Other,Fuji-Q Highland,Zokkon / ぞっこん,,45.4 mph,3937 ft,0,https://rcdb.com/16186.htm
628,Other,Fuji-Q Highland,Nia and Animal Coaster / ニアとアニマルコースター,,11.2 mph,262.5 ft,0,https://rcdb.com/1503.htm
632,Other,Energylandia,Circus Coaster,,,,0,https://rcdb.com/14350.htm
634,Other,Energylandia,Mars,19.7 ft,,393.7 ft,0,https://rcdb.com/12572.htm
638,Other,Energylandia,Draken,,,,0,https://rcdb.com/16722.htm
640,Other,Energylandia,Frutti Loop Coaster,,,,0,https://rcdb.com/12071.htm
655,Other,Hersheypark,Trailblazer,,,,0,https://rcdb.com/107.htm
662,Other,Hersheypark,Cocoa Cruiser,,,,0,https://rcdb.com/11833.htm
674,Other,Holiday World,Howler,13 ft,,262.5 ft,0,https://rcdb.com/555.htm
675,Other,Knoebels,Black Diamond,35 ft,,,0,https://rcdb.com/4454.htm
676,Other,Knoebels,Kozmo's Kurves,,,,0,https://rcdb.com/4453.htm
682,Other,Pleasure Beach Blackpool,Blue Flyer,,,1099.1 ft,0,https://rcdb.com/797.htm
685,Other,Pleasure Beach Blackpool,Big Dipper,60 ft,,3300 ft,0,https://rcdb.com/790.htm
687,Other,Pleasure Beach Blackpool,Steeplechase,,,,0,https://rcdb.com/795.htm
690,Other,Pleasure Beach Blackpool,Avalanche,,,1490 ft,0,https://rcdb.com/789.htm
703,Other,Ferrari World Abu Dhabi,Mission Ferrari,,44.7 mph,1777.7 ft,2,https://rcdb.com/12575.htm
704,Other,Ferrari World Abu Dhabi,Fiorano GT Challenge,,59 mph,3280.8 ft,0,https://rcdb.com/4245.htm
