Chain,Park,Name,Height,Speed,Length,Inversions,URL
Cedar Fair,Cedar Point,Millennium Force,310.0,93.0,6595.0,0,https://rcdb.com/594.htm
Cedar Fair,Cedar Point,GateKeeper,170.0,67.0,4164.0,6,https://rcdb.com/10891.htm
Cedar Fair,Cedar Point,Steel Vengeance,205.0,74.0,5740.0,4,https://rcdb.com/15411.htm
Cedar Fair,Cedar Point,Corkscrew,85.0,48.0,2050.0,3,https://rcdb.com/13.htm
Cedar Fair,Cedar Point,Magnum XL-200,205.0,72.0,5106.0,0,https://rcdb.com/11.htm
Cedar Fair,Cedar Point,Rougarou,145.0,60.0,3900.0,4,https://rcdb.com/7.htm
Cedar Fair,Cedar Point,Woodstock Express,42.7,28.5,1099.1,0,https://rcdb.com/553.htm
Cedar Fair,Cedar Point,Maverick,105.0,70.0,4450.0,2,https://rcdb.com/3570.htm
Cedar Fair,Cedar Point,Iron Dragon,76.0,40.0,2800.0,0,https://rcdb.com/17.htm
Cedar Fair,Cedar Point,Top Thrill 2,420.0,120.0,3422.0,0,https://rcdb.com/1896.htm
Cedar Fair,Cedar Point,Raptor,137.0,57.0,3790.0,6,https://rcdb.com/1.htm
Cedar Fair,Cedar Point,Valravn,223.0,75.0,3415.0,3,https://rcdb.com/13383.htm
Cedar Fair,Cedar Point,Blue Streak,78.0,40.0,2558.0,0,https://rcdb.com/12.htm
Cedar Fair,Cedar Point,Wild Mouse,52.0,35.0,1312.0,0,https://rcdb.com/20342.htm
Cedar Fair,Cedar Point,Cedar Creek Mine Ride,48.0,42.0,2540.0,0,https://rcdb.com/18.htm
Cedar Fair,Cedar Point,Wilderness Run,19.0,6.0,443.0,0,https://rcdb.com/15.htm
Cedar Fair,Cedar Point,Gemini,125.3,60.0,3935.0,0,https://rcdb.com/14.htm
Cedar Fair,Cedar Point,Siren’s Curse,160.0,58.4,2965.9,2,https://rcdb.com/22124.htm
Cedar Fair,Kings Island,Bat,78.0,51.0,2352.0,0,https://rcdb.com/73.htm
Cedar Fair,Kings Island,Racer,88.0,53.0,3415.0,0,https://rcdb.com/69.htm
Cedar Fair,Kings Island,Flight of Fear,74.2,54.0,2705.0,4,https://rcdb.com/66.htm
Cedar Fair,Kings Island,Woodstock Express,39.0,35.0,1350.0,0,https://rcdb.com/72.htm
Cedar Fair,Kings Island,Adventure Express,63.0,35.0,2963.0,0,https://rcdb.com/70.htm
Cedar Fair,Kings Island,Diamondback,230.0,80.0,5282.0,0,https://rcdb.com/4253.htm
Cedar Fair,Kings Island,Banshee,167.0,68.0,4124.0,7,https://rcdb.com/6640.htm
Cedar Fair,Kings Island,Mystic Timbers,109.2,53.0,3265.0,0,https://rcdb.com/14116.htm
Cedar Fair,Kings Island,Queen City Stunt Coaster,45.2,40.0,1960.0,0,https://rcdb.com/2860.htm
Cedar Fair,Kings Island,Beast,110.0,64.8,7361.0,0,https://rcdb.com/67.htm
Cedar Fair,Kings Island,Orion,287.0,91.0,5321.0,0,https://rcdb.com/11437.htm
Cedar Fair,Kings Island,Snoopy's Soap Box Racers,75.5,37.3,672.6,0,https://rcdb.com/21087.htm
Cedar Fair,Kings Island,Woodstock’s Air Rail,48.6,26.0,1122.0,0,https://rcdb.com/1037.htm
Cedar Fair,Kings Island,Invertigo,131.3,50.0,1013.8,3,https://rcdb.com/530.htm
Cedar Fair,Kings Island,Great Pumpkin Coaster,8.0,8.0,199.3,0,https://rcdb.com/74.htm
Cedar Fair,Carowinds,Carolina Goldrusher,43.0,30.0,2397.0,0,https://rcdb.com/83.htm
Cedar Fair,Carowinds,Wilderness Run,16.0,,416.0,0,https://rcdb.com/498.htm
Cedar Fair,Carowinds,Snoopy’s Racing Railway,,31.1,,0,https://rcdb.com/22011.htm
Cedar Fair,Carowinds,Flying Cobras,116.5,47.0,935.0,3,https://rcdb.com/4269.htm
Cedar Fair,Carowinds,Ricochet,45.9,28.0,1213.9,0,https://rcdb.com/1478.htm
Cedar Fair,Carowinds,Thunder Striker,232.0,75.0,5316.0,0,https://rcdb.com/8588.htm
